dataset,size,algorithm,time_us,char_comparisons
reversed,1600,merge_sort,821.191,13025
reversed,1600,string_quick_sort,318.492,13947
reversed,1600,string_merge_sort,1905.93,5847
reversed,1600,msd_radix_sort,645.108,7752
reversed,1600,msd_radix_sort_with_quick,283.467,9115
reversed,1700,quick_sort,757.934,24424
reversed,1700,merge_sort,853.333,13899
reversed,1700,string_quick_sort,346.425,15226
reversed,1700,string_merge_sort,1962.26,6247
reversed,1700,msd_radix_sort,712.058,8228
reversed,1700,msd_radix_sort_with_quick,302.375,9666
reversed,1800,quick_sort,817.475,26046
reversed,1800,merge_sort,912.95,15013
reversed,1800,string_quick_sort,355.509,15985
reversed,1800,string_merge_sort,2104.89,6687
reversed,1800,msd_radix_sort,757.375,8734
reversed,1800,msd_radix_sort_with_quick,340.1,10232
reversed,1900,quick_sort,860.667,27642
reversed,1900,merge_sort,1035.51,16022
reversed,1900,string_quick_sort,387.367,17022
reversed,1900,string_merge_sort,2324.63,7114
reversed,1900,msd_radix_sort,843.283,9232
reversed,1900,msd_radix_sort_with_quick,344.308,10815
reversed,2000,quick_sort,934.708,29360
reversed,2000,merge_sort,1121.49,17077
reversed,2000,string_quick_sort,404.617,18129
reversed,2000,string_merge_sort,2430.27,7534
reversed,2000,msd_radix_sort,877.825,9706
reversed,2000,msd_radix_sort_with_quick,362.008,11414
reversed,2100,quick_sort,978.708,31008
reversed,2100,merge_sort,1153.83,18016
reversed,2100,string_quick_sort,432.917,18983
reversed,2100,string_merge_sort,2557.64,7958
reversed,2100,msd_radix_sort,915.4,10208
reversed,2100,msd_radix_sort_with_quick,377.858,11965
reversed,2200,quick_sort,1016.81,32353
reversed,2200,merge_sort,1157.08,18599
reversed,2200,string_quick_sort,467.6,20085
reversed,2200,string_merge_sort,2739.59,8148
reversed,2200,msd_radix_sort,995.084,10694
reversed,2200,msd_radix_sort_with_quick,410.766,12520
reversed,2300,quick_sort,1057.97,33837
reversed,2300,merge_sort,1219.53,19462
reversed,2300,string_quick_sort,470.167,21280
reversed,2300,string_merge_sort,2806.98,8504
reversed,2300,msd_radix_sort,956.617,11174
reversed,2300,msd_radix_sort_with_quick,407.708,13086
reversed,2400,quick_sort,1101.53,35177
reversed,2400,merge_sort,1298.63,20165
reversed,2400,string_quick_sort,515.358,22517
reversed,2400,string_merge_sort,2929.23,8769
reversed,2400,msd_radix_sort,1071.48,11656
reversed,2400,msd_radix_sort_with_quick,438.675,13684
reversed,2500,quick_sort,1176.82,37066
reversed,2500,merge_sort,1465.15,21195
reversed,2500,string_quick_sort,541.808,23540
reversed,2500,string_merge_sort,3183.63,9274
reversed,2500,msd_radix_sort,1111.12,12108
reversed,2500,msd_radix_sort_with_quick,474.8,14224
reversed,2600,quick_sort,1229.55,39019
reversed,2600,merge_sort,1510.71,21910
reversed,2600,string_quick_sort,557.6,24299
reversed,2600,string_merge_sort,3246.08,9453
reversed,2600,msd_radix_sort,1114.81,12604
reversed,2600,msd_radix_sort_with_quick,470.008,14779
reversed,2700,quick_sort,1252.13,40924
reversed,2700,merge_sort,1482.67,22935
reversed,2700,string_quick_sort,567.266,25512
reversed,2700,string_merge_sort,3269.51,9957
reversed,2700,msd_radix_sort,1139.61,13084
reversed,2700,msd_radix_sort_with_quick,491.258,15336
reversed,2800,quick_sort,1344.15,42645
reversed,2800,merge_sort,1500.94,23905
reversed,2800,string_quick_sort,568.375,26405
reversed,2800,string_merge_sort,3479.47,10358
reversed,2800,msd_radix_sort,1223.66,13566
reversed,2800,msd_radix_sort_with_quick,539.933,15921
reversed,2900,quick_sort,1411.69,44245
reversed,2900,merge_sort,1742.85,24815
reversed,2900,string_quick_sort,624.909,28023
reversed,2900,string_merge_sort,3651.42,10658
reversed,2900,msd_radix_sort,1275.33,14080
